session_id	op_date	user_name	action	auth_type	ip	ip_location_type_keyword	ip_risk_level	location	client_type	browser_source	device_model	os_type	os_version	browser_type	browser_version	bus_system_code	op_target	risk_label
access:test_d:20180101133949:1jdc	2018/1/1 13:39	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	oa	management	0
access:test_d:20180101212745:zIGZ	2018/1/1 21:27	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	coremail	management	0
access:test_d:20180101145542:ntl2	2018/1/1 14:55	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	order-mgnt	sales	0
access:test_d:20180101132230:nnv6	2018/1/1 13:22	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	reimbursement	finance	0
access:test_d:20180101152856:D0yJ	2018/1/1 15:28	test_d	login	otp	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	coremail	management	0
access:test_d:20180101095704:kRLp	2018/1/1 9:57	test_d	login	qr	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	1
access:test_d:20180101201743:BMMH	2018/1/1 20:17	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101102504:RVM6	2018/1/1 10:25	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	0
access:test_d:20180101215419:gYjF	2018/1/1 21:54	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	reimbursement	finance	0
access:test_d:20180101131519:el7e	2018/1/1 13:15	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	0
access:test_d:20180101211008:F0Sx	2018/1/1 21:10	test_d	login	qr	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	oa	management	0
access:test_d:20180101193240:oKBG	2018/1/1 19:32	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101113220:Axd7	2018/1/1 11:32	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	0
access:test_d:20180101140045:JGD1	2018/1/1 14:00	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	coremail	management	0
access:test_d:20180101122318:4a06	2018/1/1 12:23	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	0
access:test_d:20180101155153:FlRr	2018/1/1 15:51	test_d	login	otp	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	salary	hr	0
access:test_d:20180101165832:vP39	2018/1/1 16:58	test_d	login	otp	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	1
access:test_d:20180101230113:x3Qs	2018/1/1 23:01	test_d	login	qr	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	crm	sales	0
access:test_d:20180101160056:kce1	2018/1/1 16:00	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	coremail	management	0
access:test_d:20180101194538:PJdv	2018/1/1 19:45	test_d	login	qr	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101215801:gZck	2018/1/1 21:58	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	attendance	hr	0
access:test_d:20180101114539:iSBQ	2018/1/1 11:45	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101104012:4TcW	2018/1/1 10:40	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	attendance	hr	0
access:test_d:20180101094710:Km17	2018/1/1 9:47	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	order-mgnt	sales	0
access:test_d:20180101182119:CC40	2018/1/1 18:21	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	0
access:test_d:20180101155529:f8sd	2018/1/1 15:55	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	reimbursement	finance	0
access:test_d:20180101091223:rH3T	2018/1/1 9:12	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	oa	management	0
access:test_d:20180101161923:zj4f	2018/1/1 16:19	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101164005:xi0t	2018/1/1 16:40	test_d	login	qr	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	crm	sales	1
access:test_d:20180101214314:AjRL	2018/1/1 21:43	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	coremail	management	0
access:test_d:20180101224449:fSN8	2018/1/1 22:44	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	oa	management	0
access:test_d:20180101204359:vAn2	2018/1/1 20:43	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	oa	management	1
access:test_d:20180101171121:OSAE	2018/1/1 17:11	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	coremail	management	0
access:test_d:20180101165557:6ScS	2018/1/1 16:55	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	order-mgnt	sales	0
access:test_d:20180101154117:FJvc	2018/1/1 15:41	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	crm	sales	0
access:test_d:20180101141843:oCXT	2018/1/1 14:18	test_d	login	pwd	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	crm	sales	1
access:test_d:20180101135617:HGol	2018/1/1 13:56	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101143637:SlOc	2018/1/1 14:36	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	salary	hr	0
access:test_d:20180101092800:2k4A	2018/1/1 9:28	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	attendance	hr	0
access:test_d:20180101131126:qFoB	2018/1/1 13:11	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	coremail	management	0
access:test_d:20180101203502:3QT6	2018/1/1 20:35	test_d	login	sms	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	reimbursement	finance	0
access:test_d:20180101184037:vRxx	2018/1/1 18:40	test_d	login	otp	192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	reimbursement	finance	0
access:test_d:20180101191522:dPNn	2018/1/1 19:15	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	order-mgnt	sales	0
access:test_d:20180101181804:vWSa	2018/1/1 18:18	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	edge	edge 93	order-mgnt	sales	0
access:test_d:20180101162918:nMBl	2018/1/1 16:29	test_d	sso		192.168.100.101	内网	1级	{"first_lvl":"成都分公司","sec_lvl":"9楼","third_lvl":"销售部"}	web	desktop	think_pad_e460	windows	windows 10	chrome	chrome 90	attendance	hr	0
access:test_c:20180103103900:qidr	2018/1/3 10:39	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103163654:avmD	2018/1/3 16:36	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	coremail	management	0
access:test_c:20180103142101:YsY5	2018/1/3 14:21	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103192744:T4kR	2018/1/3 19:27	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	oa	management	0
access:test_c:20180103094918:FQYD	2018/1/3 9:49	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	crm	sales	0
access:test_c:20180103132524:IQm2	2018/1/3 13:25	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	1
access:test_c:20180103165516:fd38	2018/1/3 16:55	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	firefox	firefox 78	crm	sales	0
access:test_c:20180103192028:26fb	2018/1/3 19:20	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	coremail	management	1
access:test_c:20180103140121:r8lh	2018/1/3 14:01	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	coremail	management	1
access:test_c:20180103212939:zfIF	2018/1/3 21:29	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	crm	sales	0
access:test_c:20180103100552:NWTj	2018/1/3 10:05	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	reimbursement	finance	0
access:test_c:20180103105134:qVjl	2018/1/3 10:51	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	order-mgnt	sales	0
access:test_c:20180103125357:mIPd	2018/1/3 12:53	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	coremail	management	0
access:test_c:20180103115814:xYr1	2018/1/3 11:58	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	firefox	firefox 78	attendance	hr	0
access:test_c:20180103164146:TYu0	2018/1/3 16:41	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103184059:JeUz	2018/1/3 18:40	test_c	login	otp	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	chrome	chrome 93	order-mgnt	sales	0
access:test_c:20180103153837:5Y5I	2018/1/3 15:38	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	chrome	chrome 93	order-mgnt	sales	0
access:test_c:20180103143220:Jlah	2018/1/3 14:32	test_c	login	otp	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	reimbursement	finance	1
access:test_c:20180103160127:bAdc	2018/1/3 16:01	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	reimbursement	finance	1
access:test_c:20180103210340:IK5h	2018/1/3 21:03	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103112219:ZoO5	2018/1/3 11:22	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	coremail	management	1
access:test_c:20180103220127:s0XS	2018/1/3 22:01	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	chrome	chrome 93	order-mgnt	sales	0
access:test_c:20180103121752:yeTe	2018/1/3 12:17	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	1
access:test_c:20180103151617:PZbr	2018/1/3 15:16	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	1
access:test_c:20180103190205:IAlf	2018/1/3 19:02	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103175354:Cybq	2018/1/3 17:53	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	order-mgnt	sales	0
access:test_c:20180103170320:wHWq	2018/1/3 17:03	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	chrome	chrome 93	order-mgnt	sales	0
access:test_c:20180103111047:Xn7I	2018/1/3 11:10	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	reimbursement	finance	1
access:test_c:20180103214035:gNl3	2018/1/3 21:40	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	chrome	chrome 93	oa	management	1
access:test_c:20180103151402:Y9a7	2018/1/3 15:14	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	crm	sales	0
access:test_c:20180103200551:zf4g	2018/1/3 20:05	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	crm	sales	0
access:test_c:20180103105723:eTND	2018/1/3 10:57	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103122047:5C92	2018/1/3 12:20	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103142908:OU81	2018/1/3 14:29	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	coremail	management	1
access:test_c:20180103153019:pWe3	2018/1/3 15:30	test_c	login	otp	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
access:test_c:20180103224705:5qo3	2018/1/3 22:47	test_c	login	qr	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	crm	sales	0
access:test_c:20180103191815:Upa9	2018/1/3 19:18	test_c	login	sms	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	oa	management	0
access:test_c:20180103182128:XMWL	2018/1/3 18:21	test_c	login	pwd	14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	oa	management	0
access:test_c:20180103181111:RUdY	2018/1/3 18:11	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	ie	ie 11	reimbursement	finance	0
access:test_c:20180103194719:d1Dc	2018/1/3 19:47	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	think_pad_t480	windows	windows 11	firefox	firefox 78	crm	sales	1
access:test_c:20180103172350:AXvI	2018/1/3 17:23	test_c	sso		14.196.145.66	家庭宽带	2级	{"first_lvl":"四川省","sec_lvl":"成都市","third_lvl":"武侯区"}	web	desktop	macbook	macOS	macOS Big Sur 11	safari	safari 13	order-mgnt	sales	0
